id,user_id,action_type_id,value,points_awarded,date
293,3,5,2.0,7,2025-10-08
294,3,1,17.83,4,2025-10-09
295,3,2,152.07,0,2025-10-09
296,3,3,8.0,2,2025-10-09
297,3,4,1.57,12,2025-10-09
298,3,5,4.0,4,2025-10-09
299,3,1,9.76,2,2025-10-10
300,3,2,56.4,0,2025-10-10
301,3,3,7.0,2,2025-10-10
302,3,4,0.35,22,2025-10-10
303,3,5,2.0,7,2025-10-10
304,3,1,14.48,3,2025-10-11
305,3,2,152.89,0,2025-10-11
306,3,3,2.0,7,2025-10-11
307,3,4,1.97,10,2025-10-11
308,3,5,4.0,4,2025-10-11
309,3,1,11.29,2,2025-10-12
310,3,2,14.61,1,2025-10-12
311,3,3,10.0,2,2025-10-12
312,3,4,1.03,15,2025-10-12
313,3,5,3.0,5,2025-10-12
314,3,1,6.55,1,2025-10-13
315,3,2,87.3,0,2025-10-13
316,3,3,5.0,3,2025-10-13
317,3,4,1.59,12,2025-10-13
318,3,5,3.0,5,2025-10-13
319,3,1,8.43,2,2025-10-14
320,3,2,151.93,0,2025-10-14
321,3,3,7.0,2,2025-10-14
322,3,4,0.33,23,2025-10-14
323,3,5,4.0,4,2025-10-14
324,3,1,4.48,1,2025-10-15
325,3,2,21.67,0,2025-10-15
326,3,3,10.0,2,2025-10-15
327,3,4,0.37,22,2025-10-15
328,3,1,0.41,0,2025-10-16
329,3,2,35.9,0,2025-10-16
330,3,3,2.0,7,2025-10-16
331,3,4,1.11,14,2025-10-16
332,3,1,13.99,3,2025-10-17
333,3,2,140.37,0,2025-10-17
334,3,3,2.0,7,2025-10-17
335,3,4,1.33,13,2025-10-17
336,3,5,5.0,3,2025-10-17
337,3,1,3.28,1,2025-10-18
338,3,2,62.88,0,2025-10-18
339,3,3,9.0,2,2025-10-18
340,3,4,0.34,22,2025-10-18
341,3,5,2.0,7,2025-10-18
342,3,1,7.51,2,2025-10-19
343,3,2,170.05,0,2025-10-19
344,3,3,3.0,5,2025-10-19
345,3,4,0.43,21,2025-10-19
346,3,5,5.0,3,2025-10-19
347,3,1,13.94,3,2025-10-20
348,3,2,61.27,0,2025-10-20
349,3,3,10.0,2,2025-10-20
350,3,4,1.32,13,2025-10-20
351,3,1,0.82,0,2025-10-21
352,3,2,100.57,0,2025-10-21
353,3,3,10.0,2,2025-10-21
354,3,4,0.93,16,2025-10-21
355,3,5,4.0,4,2025-10-21
356,3,7,1.0,2,2025-10-21
357,3,1,8.4,2,2025-10-22
358,3,2,93.33,0,2025-10-22
359,3,3,6.0,3,2025-10-22
360,3,4,1.93,10,2025-10-22
361,3,5,5.0,3,2025-10-22
362,3,1,3.06,1,2025-10-23
363,3,2,39.94,0,2025-10-23
364,3,3,8.0,2,2025-10-23
365,3,4,1.94,10,2025-10-23
366,3,5,2.0,7,2025-10-23
367,3,1,15.49,3,2025-10-24
368,3,2,89.03,0,2025-10-24
369,3,3,9.0,2,2025-10-24
370,3,4,0.76,17,2025-10-24
371,3,5,1.0,10,2025-10-24
372,3,1,17.63,4,2025-10-25
373,3,2,51.46,0,2025-10-25
374,3,3,7.0,2,2025-10-25
375,3,4,1.27,13,2025-10-25
376,3,5,5.0,3,2025-10-25
377,3,7,1.0,2,2025-10-25
378,3,1,17.02,3,2025-10-26
379,3,2,40.91,0,2025-10-26
380,3,3,3.0,5,2025-10-26
381,3,4,0.9,16,2025-10-26
382,3,5,2.0,7,2025-10-26
383,3,1,14.02,3,2025-10-27
384,3,2,56.97,0,2025-10-27
385,3,4,1.18,14,2025-10-27
386,3,5,1.0,10,2025-10-27
387,3,1,9.77,2,2025-10-28
388,3,2,138.89,0,2025-10-28
389,3,3,7.0,2,2025-10-28
390,3,4,1.4,13,2025-10-28
391,3,5,3.0,5,2025-10-28
392,3,7,1.0,2,2025-10-28
393,3,1,5.88,1,2025-10-29
394,3,2,78.75,0,2025-10-29
395,3,3,3.0,5,2025-10-29
396,3,4,0.82,16,2025-10-29
397,3,5,4.0,4,2025-10-29
398,3,1,6.88,1,2025-10-30
399,3,2,179.43,0,2025-10-30
400,3,3,8.0,2,2025-10-30
401,3,4,0.86,16,2025-10-30
402,3,5,5.0,3,2025-10-30
403,3,1,4.61,1,2025-10-31
404,3,2,132.62,0,2025-10-31
405,3,3,5.0,3,2025-10-31
406,3,4,0.5,20,2025-10-31
407,3,5,4.0,4,2025-10-31
408,3,1,3.83,1,2025-11-01
409,3,2,135.56,0,2025-11-01
410,3,3,4.0,4,2025-11-01
411,3,4,1.53,12,2025-11-01
412,3,5,4.0,4,2025-11-01
413,3,1,16.65,3,2025-11-02
414,3,2,60.36,0,2025-11-02
415,3,3,5.0,3,2025-11-02
416,3,4,0.61,19,2025-11-02
417,3,1,0.91,0,2025-11-03
418,3,2,19.27,0,2025-11-03
419,3,3,4.0,4,2025-11-03
420,3,4,1.49,12,2025-11-03
421,3,5,1.0,10,2025-11-03
422,3,1,2.05,0,2025-11-04
423,3,2,12.09,1,2025-11-04
424,3,3,4.0,4,2025-11-04
425,3,4,1.1,14,2025-11-04
426,3,5,3.0,5,2025-11-04
427,3,1,5.05,1,2025-11-05
428,3,2,156.49,0,2025-11-05
429,3,3,1.0,10,2025-11-05
430,3,4,1.7,11,2025-11-05
431,3,5,3.0,5,2025-11-05
432,3,1,13.73,3,2025-11-06
433,3,2,35.79,0,2025-11-06
434,3,3,9.0,2,2025-11-06
435,3,4,1.91,10,2025-11-06
436,4,1,15.29,3,2025-10-08
437,4,2,113.07,0,2025-10-08
438,4,3,9.0,2,2025-10-08
439,4,4,0.68,18,2025-10-08
440,4,5,4.0,4,2025-10-08
441,4,1,5.95,1,2025-10-09
442,4,2,110.05,0,2025-10-09
443,4,3,6.0,3,2025-10-09
444,4,4,0.82,16,2025-10-09
445,4,5,4.0,4,2025-10-09
446,4,1,1.98,0,2025-10-10
447,4,2,139.67,0,2025-10-10
448,4,3,10.0,2,2025-10-10
449,4,4,0.66,18,2025-10-10
450,4,5,5.0,3,2025-10-10
451,4,1,11.04,2,2025-10-11
452,4,2,36.61,0,2025-10-11
453,4,3,6.0,3,2025-10-11
454,4,4,1.07,15,2025-10-11
455,4,5,4.0,4,2025-10-11
456,4,1,5.76,1,2025-10-12
457,4,2,58.06,0,2025-10-12
458,4,3,7.0,2,2025-10-12
459,4,4,0.42,21,2025-10-12
460,4,5,1.0,10,2025-10-12
461,4,1,12.5,3,2025-10-13
462,4,2,122.4,0,2025-10-13
463,4,3,3.0,5,2025-10-13
464,4,4,1.02,15,2025-10-13
465,4,5,4.0,4,2025-10-13
466,4,1,5.31,1,2025-10-14
467,4,2,34.18,0,2025-10-14
468,4,4,0.58,19,2025-10-14
469,4,5,2.0,7,2025-10-14
470,4,1,18.42,4,2025-10-15
471,4,2,84.66,0,2025-10-15
472,4,3,7.0,2,2025-10-15
473,4,4,1.47,12,2025-10-15
474,4,5,5.0,3,2025-10-15
475,4,1,10.8,2,2025-10-16
476,4,2,84.42,0,2025-10-16
477,4,3,9.0,2,2025-10-16
478,4,4,0.37,22,2025-10-16
479,4,5,3.0,5,2025-10-16
480,4,1,0.52,0,2025-10-17
481,4,2,48.92,0,2025-10-17
482,4,3,10.0,2,2025-10-17
483,4,4,1.72,11,2025-10-17
484,4,5,4.0,4,2025-10-17
485,4,7,1.0,2,2025-10-17
486,4,1,15.3,3,2025-10-18
487,4,2,149.64,0,2025-10-18
488,4,3,9.0,2,2025-10-18
489,4,4,0.37,22,2025-10-18
490,4,5,1.0,10,2025-10-18
491,4,1,18.32,4,2025-10-19
492,4,2,40.85,0,2025-10-19
493,4,3,9.0,2,2025-10-19
494,4,4,1.04,15,2025-10-19
495,4,5,3.0,5,2025-10-19
496,4,1,8.17,2,2025-10-20
497,4,2,64.58,0,2025-10-20
498,4,3,1.0,10,2025-10-20
499,4,4,1.76,11,2025-10-20
500,4,5,2.0,7,2025-10-20
501,4,1,13.25,3,2025-10-21
502,4,2,78.08,0,2025-10-21
503,4,3,8.0,2,2025-10-21
504,4,4,0.36,22,2025-10-21
505,4,1,19.4,4,2025-10-22
506,4,2,78.71,0,2025-10-22
507,4,3,8.0,2,2025-10-22
508,4,4,1.7,11,2025-10-22
509,4,1,8.26,2,2025-10-23
510,4,2,41.89,0,2025-10-23
511,4,3,5.0,3,2025-10-23
512,4,4,1.36,13,2025-10-23
513,4,5,3.0,5,2025-10-23
514,4,1,4.07,1,2025-10-24
515,4,2,103.37,0,2025-10-24
516,4,3,4.0,4,2025-10-24
517,4,4,1.04,15,2025-10-24
518,4,5,5.0,3,2025-10-24
519,4,7,1.0,2,2025-10-24
520,4,1,12.6,3,2025-10-25
521,4,2,145.88,0,2025-10-25
522,4,3,2.0,7,2025-10-25
523,4,4,0.83,16,2025-10-25
524,4,1,19.85,4,2025-10-26
525,4,2,165.2,0,2025-10-26
526,4,3,7.0,2,2025-10-26
527,4,4,1.91,10,2025-10-26
528,4,5,5.0,3,2025-10-26
529,4,1,14.33,3,2025-10-27
530,4,2,96.51,0,2025-10-27
531,4,3,4.0,4,2025-10-27
532,4,4,1.01,15,2025-10-27
533,4,5,3.0,5,2025-10-27
534,4,1,11.03,2,2025-10-28
535,4,2,75.21,0,2025-10-28
536,4,3,9.0,2,2025-10-28
537,4,4,1.16,14,2025-10-28
538,4,5,1.0,10,2025-10-28
539,4,1,15.8,3,2025-10-29
540,4,2,80.54,0,2025-10-29
541,4,3,8.0,2,2025-10-29
542,4,4,0.75,17,2025-10-29
543,4,1,11.74,2,2025-10-30
544,4,2,179.81,0,2025-10-30
545,4,3,7.0,2,2025-10-30
546,4,4,1.77,11,2025-10-30
547,4,5,3.0,5,2025-10-30
548,4,1,11.04,2,2025-10-31
549,4,2,102.38,0,2025-10-31
550,4,3,7.0,2,2025-10-31
551,4,4,1.89,10,2025-10-31
552,4,5,1.0,10,2025-10-31
553,4,1,7.66,2,2025-11-01
554,4,2,155.52,0,2025-11-01
555,4,3,6.0,3,2025-11-01
556,4,4,0.37,22,2025-11-01
557,4,5,5.0,3,2025-11-01
558,4,1,7.62,2,2025-11-02
559,4,2,178.03,0,2025-11-02
560,4,3,10.0,2,2025-11-02
561,4,4,1.97,10,2025-11-02
562,4,5,3.0,5,2025-11-02
563,4,1,19.31,4,2025-11-03
564,4,2,66.44,0,2025-11-03
565,4,3,1.0,10,2025-11-03
566,4,4,1.79,11,2025-11-03
567,4,5,3.0,5,2025-11-03
568,4,1,0.31,0,2025-11-04
569,4,2,34.51,0,2025-11-04
570,4,3,10.0,2,2025-11-04
571,4,4,1.95,10,2025-11-04
572,4,1,6.77,1,2025-11-05
573,4,2,127.76,0,2025-11-05
574,4,3,10.0,2,2025-11-05
575,4,4,0.44,21,2025-11-05
576,4,5,2.0,7,2025-11-05
577,4,1,7.6,2,2025-11-06
578,4,2,63.83,0,2025-11-06
579,4,3,7.0,2,2025-11-06
580,4,4,1.78,11,2025-11-06
581,5,1,13.69,3,2025-10-08
582,5,2,58.85,0,2025-10-08
583,5,3,3.0,5,2025-10-08
584,5,4,1.57,12,2025-10-08
585,5,5,3.0,5,2025-10-08
586,5,1,14.08,3,2025-10-09
587,5,2,27.09,0,2025-10-09
588,5,3,2.0,7,2025-10-09
589,5,4,1.48,12,2025-10-09
590,5,1,5.87,1,2025-10-10
591,5,2,73.72,0,2025-10-10
592,5,3,2.0,7,2025-10-10
593,5,4,0.72,17,2025-10-10
594,5,5,3.0,5,2025-10-10
595,5,1,3.4,1,2025-10-11
596,5,2,23.42,0,2025-10-11
597,5,3,6.0,3,2025-10-11
598,5,4,1.35,13,2025-10-11
599,5,5,1.0,10,2025-10-11
600,5,1,4.64,1,2025-10-12
601,5,2,118.44,0,2025-10-12
602,5,3,7.0,2,2025-10-12
603,5,4,0.73,17,2025-10-12
604,5,1,5.75,1,2025-10-13
605,5,2,102.92,0,2025-10-13
606,5,3,1.0,10,2025-10-13
607,5,4,1.05,15,2025-10-13
608,5,5,2.0,7,2025-10-13
609,5,1,19.24,4,2025-10-14
610,5,2,127.35,0,2025-10-14
611,5,3,7.0,2,2025-10-14
612,5,4,1.74,11,2025-10-14
613,5,5,1.0,10,2025-10-14
614,5,1,2.13,0,2025-10-15
615,5,2,74.83,0,2025-10-15
616,5,3,5.0,3,2025-10-15
617,5,4,1.28,13,2025-10-15
618,5,5,5.0,3,2025-10-15
619,5,1,13.16,3,2025-10-16
620,5,2,56.66,0,2025-10-16
621,5,3,9.0,2,2025-10-16
622,5,4,1.77,11,2025-10-16
623,5,5,5.0,3,2025-10-16
624,5,1,14.9,3,2025-10-17
625,5,2,151.58,0,2025-10-17
626,5,3,4.0,4,2025-10-17
627,5,4,1.62,11,2025-10-17
628,5,5,1.0,10,2025-10-17
629,5,1,12.73,3,2025-10-18
630,5,2,115.55,0,2025-10-18
631,5,3,10.0,2,2025-10-18
632,5,4,1.58,12,2025-10-18
633,5,5,5.0,3,2025-10-18
634,5,1,1.94,0,2025-10-19
635,5,2,116.67,0,2025-10-19
636,5,4,0.83,16,2025-10-19
637,5,5,3.0,5,2025-10-19
638,5,1,2.63,1,2025-10-20
639,5,2,164.64,0,2025-10-20
640,5,3,5.0,3,2025-10-20
641,5,4,1.57,12,2025-10-20
642,5,5,1.0,10,2025-10-20
643,5,1,17.53,4,2025-10-21
644,5,2,72.2,0,2025-10-21
645,5,3,8.0,2,2025-10-21
646,5,4,1.85,11,2025-10-21
647,5,5,1.0,10,2025-10-21
648,5,1,9.64,2,2025-10-22
649,5,2,147.1,0,2025-10-22
650,5,3,5.0,3,2025-10-22
651,5,4,1.67,11,2025-10-22
652,5,5,3.0,5,2025-10-22
653,5,1,19.33,4,2025-10-23
654,5,2,156.22,0,2025-10-23
655,5,3,10.0,2,2025-10-23
656,5,4,1.97,10,2025-10-23
657,5,5,4.0,4,2025-10-23
658,5,1,0.28,0,2025-10-24
659,5,2,101.22,0,2025-10-24
660,5,3,7.0,2,2025-10-24
661,5,4,0.93,16,2025-10-24
662,5,5,5.0,3,2025-10-24
663,5,1,16.45,3,2025-10-25
664,5,2,169.85,0,2025-10-25
665,5,3,1.0,10,2025-10-25
666,5,4,1.45,12,2025-10-25
667,5,5,3.0,5,2025-10-25
668,5,1,11.23,2,2025-10-26
669,5,2,165.59,0,2025-10-26
670,5,3,3.0,5,2025-10-26
671,5,4,1.4,12,2025-10-26
672,5,5,5.0,3,2025-10-26
673,5,1,6.04,1,2025-10-27
674,5,2,79.41,0,2025-10-27
675,5,3,2.0,7,2025-10-27
676,5,4,0.38,22,2025-10-27
677,5,1,1.94,0,2025-10-28
678,5,2,160.83,0,2025-10-28
679,5,3,2.0,7,2025-10-28
680,5,4,0.96,15,2025-10-28
681,5,5,2.0,7,2025-10-28
682,5,1,18.92,4,2025-10-29
683,5,2,81.25,0,2025-10-29
684,5,3,2.0,7,2025-10-29
685,5,4,1.81,11,2025-10-29
686,5,5,5.0,3,2025-10-29
687,5,1,8.16,2,2025-10-30
688,5,2,171.76,0,2025-10-30
689,5,4,1.47,12,2025-10-30
690,5,5,1.0,10,2025-10-30
691,5,1,17.11,3,2025-10-31
692,5,2,26.89,0,2025-10-31
693,5,3,10.0,2,2025-10-31
694,5,4,0.92,16,2025-10-31
695,5,5,5.0,3,2025-10-31
696,5,1,3.8,1,2025-11-01
697,5,2,30.77,0,2025-11-01
698,5,3,7.0,2,2025-11-01
699,5,4,0.46,21,2025-11-01
700,5,5,1.0,10,2025-11-01
701,5,1,0.43,0,2025-11-02
702,5,2,143.76,0,2025-11-02
703,5,3,3.0,5,2025-11-02
704,5,4,1.98,10,2025-11-02
705,5,5,4.0,4,2025-11-02
706,5,1,11.08,2,2025-11-03
707,5,2,109.69,0,2025-11-03
708,5,3,3.0,5,2025-11-03
709,5,4,0.86,16,2025-11-03
710,5,5,1.0,10,2025-11-03
711,5,1,5.55,1,2025-11-04
712,5,2,177.28,0,2025-11-04
713,5,3,2.0,7,2025-11-04
714,5,4,1.22,14,2025-11-04
715,5,5,1.0,10,2025-11-04
716,5,1,2.64,1,2025-11-05
717,5,2,70.9,0,2025-11-05
718,5,3,3.0,5,2025-11-05
719,5,4,1.3,13,2025-11-05
720,5,1,14.83,3,2025-11-06
721,5,2,99.43,0,2025-11-06
722,5,3,1.0,10,2025-11-06
723,5,4,1.11,14,2025-11-06
724,5,5,2.0,7,2025-11-06
725,6,1,10.08,2,2025-10-08
726,6,2,170.72,0,2025-10-08
727,6,4,1.54,12,2025-10-08
728,6,5,5.0,3,2025-10-08
729,6,1,19.28,4,2025-10-09
730,6,2,20.34,0,2025-10-09
731,6,3,7.0,2,2025-10-09
732,6,4,1.74,11,2025-10-09
733,6,5,3.0,5,2025-10-09
734,6,1,18.19,4,2025-10-10
