id,team_id,date,total_points
210,7,2025-11-06,0
211,8,2025-10-08,1
212,8,2025-10-09,0
213,8,2025-10-10,0
214,8,2025-10-11,1
215,8,2025-10-12,1
216,8,2025-10-13,1
217,8,2025-10-14,2
218,8,2025-10-15,1
219,8,2025-10-16,1
220,8,2025-10-17,2
221,8,2025-10-18,0
222,8,2025-10-19,1
223,8,2025-10-20,2
224,8,2025-10-21,1
225,8,2025-10-22,3
226,8,2025-10-23,0
227,8,2025-10-24,0
228,8,2025-10-25,1
229,8,2025-10-26,1
230,8,2025-10-27,1
231,8,2025-10-28,0
232,8,2025-10-29,2
233,8,2025-10-30,1
234,8,2025-10-31,1
235,8,2025-11-01,2
236,8,2025-11-02,1
237,8,2025-11-03,1
238,8,2025-11-04,1
239,8,2025-11-05,0
240,8,2025-11-06,1
241,9,2025-10-08,2
242,9,2025-10-09,2
243,9,2025-10-10,1
244,9,2025-10-11,1
245,9,2025-10-12,2
246,9,2025-10-13,2
247,9,2025-10-14,1
248,9,2025-10-15,1
249,9,2025-10-16,1
250,9,2025-10-17,2
251,9,2025-10-18,0
252,9,2025-10-19,1
253,9,2025-10-20,1
254,9,2025-10-21,2
255,9,2025-10-22,2
256,9,2025-10-23,1
257,9,2025-10-24,2
258,9,2025-10-25,2
259,9,2025-10-26,1
260,9,2025-10-27,0
261,9,2025-10-28,2
262,9,2025-10-29,0
263,9,2025-10-30,3
264,9,2025-10-31,0
265,9,2025-11-01,1
266,9,2025-11-02,2
267,9,2025-11-03,1
268,9,2025-11-04,0
269,9,2025-11-05,1
270,9,2025-11-06,2
271,10,2025-10-08,1
272,10,2025-10-09,1
273,10,2025-10-10,3
274,10,2025-10-11,1
275,10,2025-10-12,1
276,10,2025-10-13,1
277,10,2025-10-14,2
278,10,2025-10-15,2
279,10,2025-10-16,3
280,10,2025-10-17,2
281,10,2025-10-18,2
282,10,2025-10-19,1
283,10,2025-10-20,0
284,10,2025-10-21,2
285,10,2025-10-22,1
286,10,2025-10-23,2
287,10,2025-10-24,0
288,10,2025-10-25,1
289,10,2025-10-26,0
290,10,2025-10-27,0
291,10,2025-10-28,3
292,10,2025-10-29,2
293,10,2025-10-30,1
294,10,2025-10-31,1
295,10,2025-11-01,2
296,10,2025-11-02,2
297,10,2025-11-03,1
298,10,2025-11-04,2
299,10,2025-11-05,0
300,10,2025-11-06,1
